"st","ctyname","trct","trctname","blklatdd","blklondd","zcta"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1971138,-121.9647262,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.180399,-121.9405339,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1883306,-121.9276097,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1926773,-121.9101419,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1894409,-121.9266829,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1652274,-121.8077621,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1849027,-121.9552062,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1819179,-121.9643387,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1866099,-121.9971571,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1971989,-121.943779,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1403033,-121.9370619,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.165082,-121.7292501,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1940308,-121.9619131,"98022"
"53","King County, WA                                                                                     ","53033031302","313.02 (King, WA)                                                                                   ",47.1812401,-121.9893432,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1869056,-121.9664945,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1940572,-121.9447462,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1944428,-121.9455895,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1861135,-121.9625696,"98022"
"53","King County, WA                                                                                     ","53033031502","315.02 (King, WA)                                                                                   ",47.1897819,-121.9690159,"98022"
"53","King County, WA                                                                                     ","53033031301","313.01 (King, WA)                                                                                   ",47.1736891,-122.0503044,"98022"
